adnetwork_adunits        ,status,master_adunit,size,adformat,bid_type,mediation,imp_type,adnetwork,adtag,
iCook_iPhone_Search_Bottom,New,iCook_iPhone_Search_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff8aaad1818,
iCook_iPhone_User_Bottom,New,iCook_iPhone_User_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80818241da88b90141e0291ec90284,
iCook_iPhone_Recipe_Bottom,New,iCook_iPhone_Recipe_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80818241da88b90141e0291ec90284,
iCook_iPhone_Recipe_Interstitial,New,iCook_iPhone_Recipe_Interstitial,320x480; 480x320; 768x1024; 1024x768,Interstitial,RTB,GAM,AdServer,Vpon,8a808182497649350149e002383f38b8,
iCook_iPhone_Video_Interstitial,New,iCook_iPhone_Video_Interstitial,320x480; 480x320; 768x1024; 1024x768,Interstitial,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff8fc22181a,
iCook_iPhone_Homepage_Instream1_Native,New,iCook_iPhone_Homepage_Instream1,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff930e5181b,
iCook_iPhone_Homepage_Instream2_Native,New,iCook_iPhone_Homepage_Instream2,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff94ef9181c,
iCook_iPhone_Recipe_Top_Native,New,iCook_iPhone_Recipe_Top,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff96d6e181d,
iCook_iPhone_Recipe_Step_Native,New,iCook_iPhone_Recipe_Step,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff991c9181e,
iCook_iPhone_Recipe_Bottomv2_Native,New,iCook_iPhone_Recipe_Bottomv2,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff9b850181f,
iCook_iPhone_Recipes_Top_Native,New,iCook_iPhone_Recipes_Top,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfff9d9811820,
iCook_Android_Homepage_Instream1,New,iCook_Android_Homepage_Instream1,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffc86101821,
iCook_Android_Homepage_Instream2,New,iCook_Android_Homepage_Instream2,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffcc43e1822,
iCook_Android_Recipe_Bottomv2,New,iCook_Android_Recipe_Bottomv2,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffd086e1823,
iCook_Android_Recipe_Step,New,iCook_Android_Recipe_Step,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffde0121824,
iCook_Android_Recipe_Top,New,iCook_Android_Recipe_Top,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfb00c79a0dae,
iCook_Android_Recipes_Instreamv2,New,iCook_Android_Recipes_Instreamv2,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffe21e61825,
iCook_Android_Recipes_Top,New,iCook_Android_Recipes_Top,300x250,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffe5c501826,
iCook_Android_Search_Instream,Archived,iCook_Android_Search_Instream,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffeac171827,
iCook_Android_Search_Top,Archived,iCook_Android_Search_Top,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfffee4111828,
iCook_Android_Search_Bottom,New,iCook_Android_Search_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cffff20cf1829,
iCook_Android_User_Bottom,New,iCook_Android_User_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cffff6874182a,
iCook_Android_Recipe_Bottom,New,iCook_Android_Recipe_Bottom,320x50,Banner,RTB,GAM,AdServer,Vpon,8a808182425991a201428e4caa7e1c8e,
iCook_Android_Recipe_Interstitial,New,iCook_Android_Recipe_Interstitial,320x480; 480x320; 768x1024; 1024x768,Interstitial,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cfb00ec980daf,
iCook_Android_Video_Interstitial,New,iCook_Android_Video_Interstitial,320x480; 480x320; 768x1024; 1024x768,Interstitial,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cffffada9182b,
iCook_Android_Homepage_Instream1_Native,New,iCook_Android_Homepage_Instream1,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016cffffece2182c,
iCook_Android_Homepage_Instream2_Native,New,iCook_Android_Homepage_Instream2,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016d00002e25182d,
iCook_Android_Recipe_Top_Native,New,iCook_Android_Recipe_Top,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016d00007262182e,
iCook_Android_Recipe_Step_Native,New,iCook_Android_Recipe_Step,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016d0000baa2182f,
iCook_Android_Recipe_Bottomv2_Native(Error),Archived,iCook_Android_Recipe_Bottomv2,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016d000114241830,
iCook_Android_Recipe_Bottomv2_Native,New,iCook_Android_Recipe_Bottomv2,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6d3daf88016dcfde045307a2,
iCook_Android_Recipes_Top_Native,New,iCook_Android_Recipes_Top,Native,Native,RTB,GAM,AdServer,Vpon,8a80854b6cf58dcc016d00016f5a1831,
iCook_App_Recipe_Interval (21851353329),Active,iCook_App_Recipe_Interval,Custom rendering,"Native, Banner",RTB,GAM,AdX,AdX,21851353329,
iCook_App_Recipe_Interval_Bottom (21851352804),Active,iCook_App_Recipe_Interval_Bottom,320x100,Banner,RTB,GAM,AdX,AdX,21851352804,
iCook_iPhone_Recipe_Interval (21851353329),Active,iCook_iPhone_Recipe_Interval,Custom rendering,"Native, Banner",RTB,GAM,AdX,AdX,21851353329,
iCook_iPhone_Recipe_Interval_Bottom (21851352804),Active,iCook_iPhone_Recipe_Interval_Bottom,320x100,Banner,RTB,GAM,AdX,AdX,21851352804,
iCook_Android_Recipe_Interval (21851353329),Active,iCook_Android_Recipe_Interval,Custom rendering,"Native, Banner",RTB,GAM,AdX,AdX,21851353329,
iCook_Android_Recipe_Interval_Bottom (21851352804),Active,iCook_Android_Recipe_Interval_Bottom,320x100,Banner,RTB,GAM,AdX,AdX,21851352804,
Blog_Post_Header2 (21748523923),Active,Blog_Post_Header2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748523923,
iCook_Homepage_Bottom_Sticky (21749133218),Active,iCook_Homepage_Bottom_Sticky,,Banner,RTB,GAM,AdSense,in2w-adsense,21749133218,
Blog_Post_Sidebar_Bottom2 (21748371204),Active,Blog_Post_Sidebar_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748371204,
Blog_Post_Bottom1 (21757929799),Active,Blog_Post_Bottom1,,Banner,RTB,GAM,AdSense,in2w-adsense,21757929799,
Blog_Post_Header1 (21750241231),Active,Blog_Post_Header1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750241231,
Blog_Post_Article_Bottom_PC (21797462181),Active,Blog_Post_Article_Bottom_PC,,Banner,RTB,GAM,AdSense,in2w-adsense,21797462181,
Blog_Posts_Bottom_Sticky (21749423026),Active,Blog_Posts_Bottom_Sticky,,Banner,RTB,GAM,AdSense,in2w-adsense,21749423026,
iCook_Homepage_Bottom (41571163),Active,iCook_Homepage_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,41571163,
iCook_Recipes_Sidebar_Bottom2 (21748523095),Active,iCook_Recipes_Sidebar_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748523095,
Blog_Posts_Header2 (21748525078),Active,Blog_Posts_Header2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748525078,
Blog_Posts_Bottom (21757933969),Active,Blog_Posts_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,21757933969,
Blog_Post_Sidebar_Top (21737434952),Active,Blog_Post_Sidebar_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21737434952,
Blog_Post_Article_Bottom_MB (21797462292),Active,Blog_Post_Article_Bottom_MB,,Banner,RTB,GAM,AdSense,in2w-adsense,21797462292,
iCook_Recipe_Step1_1 (21750246673),Active,iCook_Recipe_Step1_1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750246673,
Blog_Post_Article_Top_PC (21797462154),Active,Blog_Post_Article_Top_PC,,Banner,RTB,GAM,AdSense,in2w-adsense,21797462154,
iCook_Homepage_Sidebar_Bottom2 (21748360260),Active,iCook_Homepage_Sidebar_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748360260,
Blog_Post_Article_Middle_MB (21797268626),Active,Blog_Post_Article_Middle_MB,,Banner,RTB,GAM,AdSense,in2w-adsense,21797268626,
iCook_Recipes_Bottom2 (21748215260),Active,iCook_Recipes_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748215260,
Blog_Posts_Bottom2 (21757753601),Active,Blog_Posts_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21757753601,
Blog_Post_Article_Middle_PC (21797462613),Active,Blog_Post_Article_Middle_PC,,Banner,RTB,GAM,AdSense,in2w-adsense,21797462613,
iCook_Recipe_Step1_2 (21748211123),Active,iCook_Recipe_Step1_2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748211123,
Blog_Posts_Sidebar_Bottom (21737537616),Active,Blog_Posts_Sidebar_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,21737537616,
Blog_Post_Bottom_Sticky (21762759905),Active,Blog_Post_Bottom_Sticky,,Banner,RTB,GAM,AdSense,in2w-adsense,21762759905,
iCook_Recipes_Bottoms2 (21821173240),Active,iCook_Recipes_Bottoms2,,Banner,RTB,GAM,AdSense,in2w-adsense,21821173240,
Blog_Posts_Bottom1 (21757863816),Active,Blog_Posts_Bottom1,,Banner,RTB,GAM,AdSense,in2w-adsense,21757863816,
Blog_Post_Article_Top_MB (21797462247),Active,Blog_Post_Article_Top_MB,,Banner,RTB,GAM,AdSense,in2w-adsense,21797462247,
iCook_Homepage_Sidebar_Bottom (94410163),Active,iCook_Homepage_Sidebar_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,94410163,
iCook_Homepage_Sidebar_Middle (124209163),Active,iCook_Homepage_Sidebar_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,124209163,
iCook_Homepage_Sidebar_Top (21737239164),Active,iCook_Homepage_Sidebar_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21737239164,
iCook_Recipes_Bottoms (21818556414),Active,iCook_Recipes_Bottoms,,Banner,RTB,GAM,AdSense,in2w-adsense,21818556414,
iCook_Homepage_Middle (41571043),Active,iCook_Homepage_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,41571043,
iCook_Recipe_Middle2 (21748501003),Active,iCook_Recipe_Middle2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748501003,
iCook_Recipe_Sidebar_Middle (21754782988),Active,iCook_Recipe_Sidebar_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,21754782988,
iCook_Recipes_Sidebar_Bottom (41572723),Active,iCook_Recipes_Sidebar_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,41572723,
iCook_Recipe_Sidebar_Bottom2 (21748228259),Active,iCook_Recipe_Sidebar_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748228259,
iCook_Recipes_Middle2 (21748216358),Active,iCook_Recipes_Middle2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748216358,
iCook_Recipe_Top (41572843),Active,iCook_Recipe_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,41572843,
iCook_Recipes_Middle1 (21750248440),Active,iCook_Recipes_Middle1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750248440,
Blog_Post_Bottom (21757929592),Active,Blog_Post_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,21757929592,
Blog_Post_Sidebar_Bottom (21737536872),Active,Blog_Post_Sidebar_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,21737536872,
iCook_Recipe_Bottoms (21753162942),Active,iCook_Recipe_Bottoms,,Banner,RTB,GAM,AdSense,in2w-adsense,21753162942,
iCook_Recipe_Step1 (21711745760),Active,iCook_Recipe_Step1,,Banner,RTB,GAM,AdSense,in2w-adsense,21711745760,
iCook_Recipe_Middle1 (21750245119),Active,iCook_Recipe_Middle1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750245119,
iCook_Recipe_Sidebar_Bottom (41571283),Active,iCook_Recipe_Sidebar_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,41571283,
iCook_Recipe_Middle (21711745754),Active,iCook_Recipe_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,21711745754,
iCook_Recipe_Bottom_Sticky (21711745025),Active,iCook_Recipe_Bottom_Sticky,,Banner,RTB,GAM,AdSense,in2w-adsense,21711745025,
iCook_Recipes_Top_AMP (21797321774),Active,iCook_Recipes_Top_AMP,,Banner,RTB,GAM,AdSense,in2w-adsense,21797321774,
Blog_Posts_Header1 (21750242854),Active,Blog_Posts_Header1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750242854,
Blog_Post_Bottom2 (21757929847),Active,Blog_Post_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21757929847,
iCook_Recipes_Bottoms1 (21821173735),Active,iCook_Recipes_Bottoms1,,Banner,RTB,GAM,AdSense,in2w-adsense,21821173735,
Blog_Posts_Sidebar_Bottom2 (21748233515),Active,Blog_Posts_Sidebar_Bottom2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748233515,
Blog_Post_Header (21737534289),Active,Blog_Post_Header,,Banner,RTB,GAM,AdSense,in2w-adsense,21737534289,
iCook_Recipes_Middle (41571643),Active,iCook_Recipes_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,41571643,
iCook_Recipes_Bottom (41571763),Active,iCook_Recipes_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,41571763,
iCook_Recipes_Top2 (21748508974),Active,iCook_Recipes_Top2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748508974,
Blog_Post_Desktop_Top (21783624421),Active,Blog_Post_Desktop_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21783624421,
iCook_Recipes_Bottom1 (21750247909),Active,iCook_Recipes_Bottom1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750247909,
iCook_Recipe_Bottom3 (21749957687),Active,iCook_Recipe_Bottom3,,Banner,RTB,GAM,AdSense,in2w-adsense,21749957687,
iCook_Recipes_Bottom_Sticky_AMP (21797797286),Active,iCook_Recipes_Bottom_Sticky_AMP,,Banner,RTB,GAM,AdSense,in2w-adsense,21797797286,
iCook_Recipe_Bottoms2 (21748501753),Active,iCook_Recipe_Bottoms2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748501753,
iCook_Recipes_Sidebar_Middle (21754556495),Active,iCook_Recipes_Sidebar_Middle,,Banner,RTB,GAM,AdSense,in2w-adsense,21754556495,
iCook_Recipes_Top (88349323),Active,iCook_Recipes_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,88349323,
iCook_Recipe_Bottoms1 (21750865200),Active,iCook_Recipe_Bottoms1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750865200,
iCook_Recipes_Bottom_Sticky (21749264823),Active,iCook_Recipes_Bottom_Sticky,,Banner,RTB,GAM,AdSense,in2w-adsense,21749264823,
iCook_Recipe_Sidebar_Top (21737432437),Active,iCook_Recipe_Sidebar_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21737432437,
iCook_Recipe_Bottom1 (21749955746),Active,iCook_Recipe_Bottom1,,Banner,RTB,GAM,AdSense,in2w-adsense,21749955746,
iCook_Recipe_Desktop_Top (21739053453),Active,iCook_Recipe_Desktop_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21739053453,
iCook_Recipes_Top1 (21750259894),Active,iCook_Recipes_Top1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750259894,
iCook_Recipes_Sidebar_Top (21737133278),Active,iCook_Recipes_Sidebar_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21737133278,
Blog_Posts_Header (21737431868),Active,Blog_Posts_Header,,Banner,RTB,GAM,AdSense,in2w-adsense,21737431868,
Blog_Posts_Sidebar_Top (21737434682),Active,Blog_Posts_Sidebar_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21737434682,
iCook_Recipe_Top2 (21748503007),Active,iCook_Recipe_Top2,,Banner,RTB,GAM,AdSense,in2w-adsense,21748503007,
iCook_Recipe_Top1 (21750076089),Active,iCook_Recipe_Top1,,Banner,RTB,GAM,AdSense,in2w-adsense,21750076089,
iCook_Recipe_Bottom (41572603),Active,iCook_Recipe_Bottom,,Banner,RTB,GAM,AdSense,in2w-adsense,41572603,
iCook_Recipe_Sidebar_Bottom_1 (21732816492),Active,iCook_Recipe_Sidebar_Bottom_1,,Banner,RTB,GAM,AdSense,in2w-adsense,21732816492,
Blog_Posts_Desktop_Top (21783620278),Active,Blog_Posts_Desktop_Top,,Banner,RTB,GAM,AdSense,in2w-adsense,21783620278,
iCook_Recipe_Bottom (41572603),Active,iCook_Recipe_Bottom,,Banner,RTB,GAM,AdServer,AdAsia,41572603,
iCook_Recipe_Middle (21711745754),Active,iCook_Recipe_Middle,,Banner,RTB,GAM,AdServer,AdAsia,21711745754,
iCook_Recipe_Middle_Video (21800911922),Active,iCook_Recipe_Middle_Video,,Banner,RTB,GAM,AdServer,AdAsia,21800911922,
iCook_Recipes_Bottom_AMP (21797797088),Active,iCook_Recipes_Bottom_AMP,,Banner,RTB,GAM,AdSense,in2w-adsense,21797797088,
iCook_Recipe_Bottoms_Video_72890,Idle,iCook_Recipe_Bottoms_Video, 728x90,Text/image,RTB,GAM,AdServer,AdSense,7143092305,
mobile_random_24_ad_6,Active,iCook_Recipe_Feed,Responsive,Matched Content,Direct,Direct,N/A,Popin,,
Blog_Post_Article_Top_PC_passback (21852161574),Active,Blog_Post_Article_Top_PC_passback,728x90,Banner,RTB,AdX,Passback,AdX,21852161574,
Blog_Post_Article_Top_MB_passback (21852161742),Active,Blog_Post_Article_Top_MB_passback,300x250,Banner,RTB,AdX,Passback,AdX,21852161742,
[17548]InRead_文中,New,Blog_Post_Article_Top_PC,728x90,Banner,RTB,GAM,AdServer,Bridgewell,17548,
[17549]InRead(mob)_文中,New,Blog_Post_Article_Top_MB,300x250,Banner,RTB,GAM,AdServer,Bridgewell,17549,
[17820]置底影音,New,iCook_Recipe_Bottom_Sticky,320x100,Video,RTB,GAM,AdServer,Bridgewell,17820,
iCook_Recipe_Recirculation_Infinate,Active,iCook_Recipe_Feed,Responsive,Matched Content,Direct,Direct,N/A,FAN,273393289342171_2979888495359290,
Blog_Recirculation,Active,Blog_Post_MatchedContent_MB,Responsive,Matched Content,Direct,Direct,N/A,FAN,273393289342171_2979887532026053,
Blog_Recirculation_PC,Active,Blog_Post_MatchedContent_PC,Responsive,Matched Content,Direct,Direct,N/A,FAN,273393289342171_2979887992026007,
Blog_Post_Recirculation_Infinate,Active,Blog_Post_Feed,Responsive,Matched Content,Direct,Direct,N/A,FAN,273393289342171_2979888895359250,
iCook_Recipe_Video_Mid1,Active,iCook_Recipe_Video_Mid1,N/A,in-stream Video,RTB,GAM,N/A,FAN,273393289342171_2999939046687568,
iCook_Recipe_Video_Mid1 (21857099670),Active,iCook_Recipe_Video_Mid1,400x300v,Video,RTB,GAM,AdX,AdX,21857099670,
iCook_Recipe_Video_Mid2,Active,iCook_Recipe_Video_Mid2,N/A,in-stream Video,RTB,GAM,N/A,FAN,273393289342171_2999939583354181,
iCook_Recipe_Video_Mid2 (21856828100),Active,iCook_Recipe_Video_Mid2,400x300v,Video,RTB,GAM,AdX,AdX,21856828100,
iCook_Android_Recipe_Middle (21857989552),New,iCook_Android_Recipe_Middle,Custom rendering; 300x250,,RTB,GAM,AdX,AdX,21857989552,
